region,round,team1,seed1,score1,team2,seed2,score2,winner,year
West,Sweet Sixteen,Loyola Marymount,11,62,Alabama,7,60,Loyola Marymount,1990
West,Elite Eight,UNLV,1,131,Loyola Marymount,11,101,UNLV,1990
National,Final Four,UNLV,1,90,Georgia Tech,4,81,UNLV,1990
National,Final Four,Arkansas,4,83,Duke,3,97,Duke,1990
National,Championship,UNLV,1,103,Duke,3,73,UNLV,1990
East,First Round,Georgetown,1,50,Princeton,16,49,Georgetown,1989
East,First Round,Vanderbilt,8,65,Notre Dame,9,81,Notre Dame,1989
East,First Round,NC State,5,81,South Carolina,12,66,NC State,1989
East,First Round,Iowa,4,87,Rutgers,13,73,Iowa,1989
East,First Round,Kansas State,6,75,Minnesota,11,86,Minnesota,1989
East,First Round,Stanford,3,78,Siena,14,80,Siena,1989
East,First Round,West Virginia,7,84,Tennessee,10,68,West Virginia,1989
East,First Round,Duke,2,90,South Carolina State,15,69,Duke,1989
East,Second Round,Georgetown,1,81,Notre Dame,9,74,Georgetown,1989
East,Second Round,NC State,5,102,Iowa,4,96,NC State,1989
